Post-Flight Data Sheet AE3202;;;;;;;;;;;;
;;;;;;;;;;;;
date of flight:;;;5-3-2019;;T/O time:;;11:50;;;;;
flight number:;;;2;;LND time:;;13:06;;;;;
;;;;;;;;;;;;
Weights;;;;;;;;;;;;
;;;name;;;;mass [kg];;;;;
pilot 1:;;;;;;;89;;;;;
pilot 2:;;;;;;;92;;;;;
co-ordinator:;;;;;;;85;;;;;
observer 1L:;;;;;;;68;;;;;
observer 1R:;;;;;;;76;;;;;
observer 2L:;;;;;;;59;;;;;
observer 2R:;;;;;;;76;;;;;
observer 3L:;;;;;;;69;;;;;
observer 3R:;;;;;;;77;;;;;
;;;;;;;;;;;;
block fuel [lbs]:;;;3200;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Stationary measurements CL-CD Series 1;;;;;;;;;;;;
;;;;;;;;;;;;
Aircraft configuration:;;;;clean;;;;;;;;
;;;;;;;;;;;;
nr.;time;ET*;hp;IAS;a;FFl;FFr;F. used;TAT;;;
;[hrs:min];[sec];[ft];[kts];[deg];[lbs/hr];[lbs/hr];[lbs];[°C];;;
;;;;;;;;;;;;
1;00:20;;7000;250;1.5;785;825;380;2.5;;;
2;00:21;;7000;220;2.1;631;692;420;0.8;;;
3;00:23;;6990;190;3.3;500;553;455;-0.8;;;
4;00:26:30;;7000;163;4.9;453;493;493;-2.9;;;
5;00:28:45;;6990;144;6.7;400;422;525;-3.2;;;
6;00:31:00;;7010;118;10;412;448;553;-4.2;;;
7;;;;;;;;;;;;
;;* ET = Elapsed Time;;;;;;;;;;
;;;;;;;;;;;;
Stationary measurements CL - CD Series 2;;;;;;;;;;;;
;;;;;;;;;;;;
Aircraft configuration :;;;;;;;;;;;;
;;;;;;;;;;;;
nr.;time;ET*;hp;IAS;a;FFl;FFr;F. used;TAT;;;
;[hh:mm];[sec];[ft];[kts];[deg];[lbs/hr];[lbs/hr];[lbs];[°C];;;
;;;;;;;;;;;;
1;;;;;;;;;;;;
2;;;;;;;;;;;;
3;;;;;;;;;;;;
4;;;;;;;;;;;;
5;;;;;;;;;;;;
6;;;;;;;;;;;;
7;;;;;;;;;;;;
;;* ET = Elapsed Time;;;;;;;;;;
Stationary measurements Elevator Trim Curve;;;;;;;;;;;;
;;;;;;;;;;;;
Aircraft configuration:;;;;clean;;;;;;;;
;;;;;;;;;;;;
nr.;time;ET*;hp;IAS;a;de;detr;Fe;FFl;FFr;F. used;TAT
;[hh:mm];[sec];[ft];[kts];[deg];[deg];[deg];[N];[lbs/hr];[lbs/hr];[lbs];[°C]
;;;;;;;;;;;;
1;00:36;;7000;163;5;-0.3;2.4;1;440;480;630;-3
2;00:37;;7250;150;6;-0.8;2.4;-24;435;475;653;-3.9
3;00:39;;7600;140;7;-1.3;2.4;-33;430;470;690;-4.8
4;00:41;;8150;130;8.1;-2;2.4;-50;421;462;711;-6.5
5;00:43;;7580;170;4.4;0;2.4;12;436;476;737;-3.3
6;00:44;;7230;180;3.8;0.3;2.4;32;442;481;760;-2.2
7;00:45;;6800;190;3.4;0.6;2.4;48;449;489;777;-1.2
;;* ET = Elapsed Time;;;;;;;;;;
;;;;;;;;;;;;
Shift in center of gravity;;;;;;;;;;;;
;;;;;;;;;;;;
name:;;;;;;;;;;;;
position:;;;;moved to position:;;;;;;;;
;;;;;;;;;;;;
nr.;time;ET*;hp;IAS;a;de;detr;Fe;FFl;FFr;F. used;TAT
;[hh:mm];[sec];[ft];[kts];[deg];[deg];[deg];[N];[lbs/hr];[lbs/hr];[lbs];[°C]
1;00:46;;7260;160;5;-0.4;2.1;1;439;475;798;-3.1
2;00:48;;7440;160;5.1;-0.9;2.1;-19;435;476;828;-3.5
;;* ET = Elapsed Time;;;;;;;;;;
;;;;;;;;;;;;
Eigenmotions;;;;;;;;;;;;
;;;;;;;;;;;;
;;;Time;;;Time;;;Time;;;
;;;[hh:mm];;;[hh:mm];;;[hh:mm];;;
Phugoid;;;00:52;Dutch Roll;;00:55;Aper. Roll;;00:51;;;
Short period;;;00:50;Dutch Roll YD;;00:57;Spiral;;01:00;;;
